"game"|"show"|"date"|"comments"|"first"|"last"|"occupation"|"from"|"final"|"coryat"|"right"|"wrong"|"round1"|"round2"|"round3"
1|4596|2004-09-06|"Ken Jennings game 39. First game of Season 21. New title graphics."|"J.D."|"Smith"|"An Editor And Writer"|"Washington, D.C."|3599|5000|10|2|3400|5000|3599
1|4596|2004-09-06|"Ken Jennings game 39. First game of Season 21. New title graphics."|"Betsey"|"Casman"|"An Appeal And Grievance Analyst"|"Las Vegas, Nevada"|1399|3200|4|2|800|3200|1399
1|4596|2004-09-06|"Ken Jennings game 39. First game of Season 21. New title graphics."|"Ken"|"Jennings"|"Software Engineer"|"Salt Lake City, Utah"|10001|29600|38|3|13800|31600|10001
2|4597|2004-09-07|"Ken Jennings game 40."|"Rich"|"Hartz"|"Food Bank Agency Coordinator"|"Huntsville, Alabama"|19201|8800|13|1|6000|10800|19201
2|4597|2004-09-07|"Ken Jennings game 40."|"Bob"|"Watts"|"Poet"|"Taylorsville, North Carolina"|0|7400|12|4|2200|9600|0
2|4597|2004-09-07|"Ken Jennings game 40."|"Ken"|"Jennings"|"Software Engineer"|"Salt Lake City, Utah"|21800|25800|31|3|5800|28400|21800
3|4598|2004-09-08|"Ken Jennings game 41."|"Laura"|"Gustafson"|"An Information Manager"|"Acton, Massachusetts"|200|4200|4|1|1000|3200|200
3|4598|2004-09-08|"Ken Jennings game 41."|"Adam"|"Meyer"|"College Professor"|"Nashville, Tennessee"|8800|8800|9|0|1600|8800|8800
3|4598|2004-09-08|"Ken Jennings game 41."|"Ken"|"Jennings"|"Software Engineer"|"Salt Lake City, Utah"|27200|26400|40|5|16400|33600|27200
4|4599|2004-09-09|"Ken Jennings game 42."|"Todd"|"Perkins"|"Private School Administrator"|"Vacaville, California"|8399|9400|9|0|3000|9400|8399
4|4599|2004-09-09|"Ken Jennings game 42."|"Amy"|"Helmes"|"Writer Originally"|"Cincinnati, Ohio"|5200|5200|6|1|400|5200|5200
4|4599|2004-09-09|"Ken Jennings game 42."|"Ken"|"Jennings"|"Software Engineer"|"Salt Lake City, Utah"|21800|33400|42|5|8100|28400|21800
5|4600|2004-09-10|"Ken Jennings game 43."|"Bill"|"Scheller"|"Writer"|"Waterville, Vermont"|6000|6000|17|4|6000|6000|6000
5|4600|2004-09-10|"Ken Jennings game 43."|"Kollin"|"Min"|"An Attorney"|"Seattle, Washington"|1|2600|3|1|600|2600|1
5|4600|2004-09-10|"Ken Jennings game 43."|"Ken"|"Jennings"|"Software Engineer"|"Salt Lake City, Utah"|30000|28600|34|3|13600|28600|30000
6|4601|2004-09-13|"Ken Jennings game 44."|"Bruce"|"England"|"Biochemist"|"Hayward, California"|-4800|-1800|10|5|1800|4800|4800
6|4601|2004-09-13|"Ken Jennings game 44."|"Dana"|"Dolan"|"Writer And Editor"|"Atlanta, Georgia"|3999|2000|4|2|2000|3999|3999
